type,price,timestamp
resistance,101973.1,2025-11-08 16:00:00
resistance,102011.9,2025-11-08 17:00:00
resistance,102226.1,2025-11-08 18:00:00
resistance,102375.9,2025-11-08 21:00:00
resistance,102429.0,2025-11-08 22:00:00
resistance,102496.4,2025-11-08 23:00:00
support,101375.0,2025-11-09 03:00:00
resistance,103000.0,2025-11-09 13:00:00
resistance,104043.8,2025-11-09 14:00:00
resistance,104187.6,2025-11-09 15:00:00
resistance,104596.7,2025-11-09 18:00:00
resistance,104830.9,2025-11-09 19:00:00
resistance,105062.5,2025-11-09 20:00:00
resistance,105478.0,2025-11-09 23:00:00
resistance,106500.0,2025-11-10 00:00:00
resistance,106663.2,2025-11-10 01:00:00
resistance,107500.0,2025-11-11 01:00:00
support,104400.0,2025-11-11 12:00:00
support,104238.0,2025-11-11 13:00:00
support,103862.4,2025-11-11 14:00:00
support,103200.0,2025-11-11 15:00:00
support,102852.8,2025-11-11 17:00:00
support,102650.2,2025-11-11 20:00:00
support,102500.0,2025-11-11 21:00:00
resistance,105089.5,2025-11-12 09:00:00
resistance,105199.9,2025-11-12 11:00:00
resistance,105332.8,2025-11-12 12:00:00
support,102000.0,2025-11-12 15:00:00
support,101341.0,2025-11-12 16:00:00
resistance,101973.1,2025-11-08 16:00:00
resistance,102011.9,2025-11-08 17:00:00
resistance,102226.1,2025-11-08 18:00:00
resistance,102375.9,2025-11-08 21:00:00
resistance,102429.0,2025-11-08 22:00:00
resistance,102496.4,2025-11-08 23:00:00
support,101375.0,2025-11-09 03:00:00
resistance,103000.0,2025-11-09 13:00:00
resistance,104043.8,2025-11-09 14:00:00
resistance,104187.6,2025-11-09 15:00:00
resistance,104596.7,2025-11-09 18:00:00
resistance,104830.9,2025-11-09 19:00:00
resistance,105062.5,2025-11-09 20:00:00
resistance,105478.0,2025-11-09 23:00:00
resistance,106500.0,2025-11-10 00:00:00
resistance,106663.2,2025-11-10 01:00:00
resistance,107500.0,2025-11-11 01:00:00
support,104400.0,2025-11-11 12:00:00
support,104238.0,2025-11-11 13:00:00
support,103862.4,2025-11-11 14:00:00
support,103200.0,2025-11-11 15:00:00
support,102852.8,2025-11-11 17:00:00
support,102650.2,2025-11-11 20:00:00
support,102500.0,2025-11-11 21:00:00
resistance,105089.5,2025-11-12 09:00:00
resistance,105199.9,2025-11-12 11:00:00
resistance,105332.8,2025-11-12 12:00:00
support,102000.0,2025-11-12 15:00:00
support,101341.0,2025-11-12 16:00:00
resistance,101973.1,2025-11-08 16:00:00
resistance,102011.9,2025-11-08 17:00:00
resistance,102226.1,2025-11-08 18:00:00
resistance,102375.9,2025-11-08 21:00:00
resistance,102429.0,2025-11-08 22:00:00
resistance,102496.4,2025-11-08 23:00:00
support,101375.0,2025-11-09 03:00:00
resistance,103000.0,2025-11-09 13:00:00
resistance,104043.8,2025-11-09 14:00:00
resistance,104187.6,2025-11-09 15:00:00
resistance,104596.7,2025-11-09 18:00:00
resistance,104830.9,2025-11-09 19:00:00
resistance,105062.5,2025-11-09 20:00:00
resistance,105478.0,2025-11-09 23:00:00
resistance,106500.0,2025-11-10 00:00:00
resistance,106663.2,2025-11-10 01:00:00
resistance,107500.0,2025-11-11 01:00:00
support,104400.0,2025-11-11 12:00:00
support,104238.0,2025-11-11 13:00:00
support,103862.4,2025-11-11 14:00:00
support,103200.0,2025-11-11 15:00:00
support,102852.8,2025-11-11 17:00:00
support,102650.2,2025-11-11 20:00:00
support,102500.0,2025-11-11 21:00:00
resistance,105089.5,2025-11-12 09:00:00
resistance,105199.9,2025-11-12 11:00:00
resistance,105332.8,2025-11-12 12:00:00
support,102000.0,2025-11-12 15:00:00
support,101341.0,2025-11-12 16:00:00
resistance,102011.9,2025-11-08 17:00:00
resistance,102226.1,2025-11-08 18:00:00
support,101524.5,2025-11-08 19:00:00
resistance,102375.9,2025-11-08 21:00:00
resistance,102429.0,2025-11-08 22:00:00
resistance,102496.4,2025-11-08 23:00:00
support,101375.0,2025-11-09 03:00:00
resistance,103000.0,2025-11-09 13:00:00
resistance,104043.8,2025-11-09 14:00:00
resistance,104187.6,2025-11-09 15:00:00
resistance,104596.7,2025-11-09 18:00:00
resistance,104830.9,2025-11-09 19:00:00
resistance,105062.5,2025-11-09 20:00:00
resistance,105478.0,2025-11-09 23:00:00
resistance,106500.0,2025-11-10 00:00:00
resistance,106663.2,2025-11-10 01:00:00
resistance,107500.0,2025-11-11 01:00:00
support,104400.0,2025-11-11 12:00:00
support,104238.0,2025-11-11 13:00:00
support,103862.4,2025-11-11 14:00:00
support,103200.0,2025-11-11 15:00:00
support,102852.8,2025-11-11 17:00:00
support,102650.2,2025-11-11 20:00:00
support,102500.0,2025-11-11 21:00:00
resistance,105089.5,2025-11-12 09:00:00
resistance,105199.9,2025-11-12 11:00:00
resistance,105332.8,2025-11-12 12:00:00
support,102000.0,2025-11-12 15:00:00
support,101341.0,2025-11-12 16:00:00
resistance,102011.9,2025-11-08 17:00:00
resistance,102226.1,2025-11-08 18:00:00
support,101524.5,2025-11-08 19:00:00
resistance,102375.9,2025-11-08 21:00:00
resistance,102429.0,2025-11-08 22:00:00
resistance,102496.4,2025-11-08 23:00:00
support,101375.0,2025-11-09 03:00:00
resistance,103000.0,2025-11-09 13:00:00
resistance,104043.8,2025-11-09 14:00:00
resistance,104187.6,2025-11-09 15:00:00
resistance,104596.7,2025-11-09 18:00:00
resistance,104830.9,2025-11-09 19:00:00
resistance,105062.5,2025-11-09 20:00:00
resistance,105478.0,2025-11-09 23:00:00
resistance,106500.0,2025-11-10 00:00:00
resistance,106663.2,2025-11-10 01:00:00
resistance,107500.0,2025-11-11 01:00:00
support,104400.0,2025-11-11 12:00:00
support,104238.0,2025-11-11 13:00:00
support,103862.4,2025-11-11 14:00:00
support,103200.0,2025-11-11 15:00:00
support,102852.8,2025-11-11 17:00:00
support,102650.2,2025-11-11 20:00:00
support,102500.0,2025-11-11 21:00:00
resistance,105089.5,2025-11-12 09:00:00
resistance,105199.9,2025-11-12 11:00:00
resistance,105332.8,2025-11-12 12:00:00
support,102000.0,2025-11-12 15:00:00
support,101341.0,2025-11-12 16:00:00
resistance,102011.9,2025-11-08 17:00:00
resistance,102226.1,2025-11-08 18:00:00
support,101524.5,2025-11-08 19:00:00
resistance,102375.9,2025-11-08 21:00:00
resistance,102429.0,2025-11-08 22:00:00
resistance,102496.4,2025-11-08 23:00:00
support,101375.0,2025-11-09 03:00:00
resistance,103000.0,2025-11-09 13:00:00
resistance,104043.8,2025-11-09 14:00:00
resistance,104187.6,2025-11-09 15:00:00
resistance,104596.7,2025-11-09 18:00:00
resistance,104830.9,2025-11-09 19:00:00
resistance,105062.5,2025-11-09 20:00:00
resistance,105478.0,2025-11-09 23:00:00
resistance,106500.0,2025-11-10 00:00:00
resistance,106663.2,2025-11-10 01:00:00
resistance,107500.0,2025-11-11 01:00:00
support,104400.0,2025-11-11 12:00:00
support,104238.0,2025-11-11 13:00:00
support,103862.4,2025-11-11 14:00:00
support,103200.0,2025-11-11 15:00:00
support,102852.8,2025-11-11 17:00:00
support,102650.2,2025-11-11 20:00:00
support,102500.0,2025-11-11 21:00:00
resistance,105089.5,2025-11-12 09:00:00
resistance,105199.9,2025-11-12 11:00:00
resistance,105332.8,2025-11-12 12:00:00
support,102000.0,2025-11-12 15:00:00
support,101341.0,2025-11-12 16:00:00
resistance,102226.1,2025-11-08 18:00:00
support,101524.5,2025-11-08 19:00:00
resistance,102375.9,2025-11-08 21:00:00
resistance,102429.0,2025-11-08 22:00:00
resistance,102496.4,2025-11-08 23:00:00
support,101375.0,2025-11-09 03:00:00
resistance,103000.0,2025-11-09 13:00:00
resistance,104043.8,2025-11-09 14:00:00
resistance,104187.6,2025-11-09 15:00:00
resistance,104596.7,2025-11-09 18:00:00
resistance,104830.9,2025-11-09 19:00:00
resistance,105062.5,2025-11-09 20:00:00
resistance,105478.0,2025-11-09 23:00:00
resistance,106500.0,2025-11-10 00:00:00
resistance,106663.2,2025-11-10 01:00:00
resistance,107500.0,2025-11-11 01:00:00
support,104400.0,2025-11-11 12:00:00
support,104238.0,2025-11-11 13:00:00
support,103862.4,2025-11-11 14:00:00
support,103200.0,2025-11-11 15:00:00
support,102852.8,2025-11-11 17:00:00
support,102650.2,2025-11-11 20:00:00
support,102500.0,2025-11-11 21:00:00
resistance,105089.5,2025-11-12 09:00:00
resistance,105199.9,2025-11-12 11:00:00
resistance,105332.8,2025-11-12 12:00:00
support,102000.0,2025-11-12 15:00:00
support,101341.0,2025-11-12 16:00:00
support,100800.0,2025-11-12 19:00:00
resistance,102226.1,2025-11-08 18:00:00
support,101524.5,2025-11-08 19:00:00
resistance,102375.9,2025-11-08 21:00:00
resistance,102429.0,2025-11-08 22:00:00
resistance,102496.4,2025-11-08 23:00:00
support,101375.0,2025-11-09 03:00:00
resistance,103000.0,2025-11-09 13:00:00
resistance,104043.8,2025-11-09 14:00:00
resistance,104187.6,2025-11-09 15:00:00
resistance,104596.7,2025-11-09 18:00:00
resistance,104830.9,2025-11-09 19:00:00
resistance,105062.5,2025-11-09 20:00:00
resistance,105478.0,2025-11-09 23:00:00
resistance,106500.0,2025-11-10 00:00:00
resistance,106663.2,2025-11-10 01:00:00
resistance,107500.0,2025-11-11 01:00:00
support,104400.0,2025-11-11 12:00:00
support,104238.0,2025-11-11 13:00:00
support,103862.4,2025-11-11 14:00:00
support,103200.0,2025-11-11 15:00:00
support,102852.8,2025-11-11 17:00:00
support,102650.2,2025-11-11 20:00:00
