pattern,level_price,timestamp
ложный пробой (ЛП),77400.0,2026-09-01 20:00:00
ложный пробой (ЛП),77400.0,2026-09-01 20:00:00
ложный пробой (ЛП),77270.0,2026-09-01 20:00:00
ложный пробой (ЛП),77180.0,2026-09-01 20:00:00
ложный пробой (ЛП),77180.0,2026-09-01 23:00:00
ложный пробой (ЛП),77180.0,2026-09-02 01:00:00
ложный пробой (ЛП),77554.5,2026-09-02 05:00:00
ложный пробой (ЛП),77400.9,2026-09-02 05:00:00
ложный пробой (ЛП),77270.0,2026-09-02 05:00:00
ложный пробой (ЛП),76470.6,2026-09-02 10:00:00
ложный пробой (ЛП),77380.0,2026-09-02 14:00:00
ложный пробой (ЛП),76847.3,2026-09-02 14:00:00
ложный пробой (ЛП),76916.6,2026-09-02 14:00:00
ложный пробой (ЛП),77270.0,2026-09-02 14:00:00
ложный пробой (ЛП),77180.0,2026-09-02 14:00:00
ложный пробой (ЛП),77270.0,2026-09-02 18:00:00
ложный пробой (ЛП),77180.0,2026-09-02 18:00:00
