timestamp,inst,price,status,reason,direction,level,atr_1h,who_punished
2026-05-17 19:35:00,BTC-USDT-SWAP,78216.7,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,226.37142857142732,накажут нетерпеливых (рынок вялый — без импульса)
2026-05-17 20:30:00,BTC-USDT-SWAP,78294.3,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,236.74285714285568,накажут нетерпеливых (рынок вялый — без импульса)
2026-05-17 21:35:00,BTC-USDT-SWAP,78346.4,НЕТ СДЕЛКИ,СЕРЕДИНА ДИАПАЗОНА (лучшее место для наказания за нетерпение),,,243.04999999999876,"накажут тех, кто торгует середину диапазона"
2026-05-17 22:35:00,BTC-USDT-SWAP,77953.2,НЕТ СДЕЛКИ,НЕТ ОТКАЗА (нет хвоста/поглощения на M5),,,264.57142857142753,"накажут тех, кто входит без подтверждения (без отказа)"
2026-05-17 23:40:00,BTC-USDT-SWAP,77024.8,НЕТ СДЕЛКИ,НЕТ ОТКАЗА (нет хвоста/поглощения на M5),,,353.0928571428563,"накажут тех, кто входит без подтверждения (без отказа)"
