pattern,level_price,timestamp
пробой вниз,69273.6,2026-02-25 19:00:00
ложный пробой (ЛП),68721.2,2026-02-25 19:00:00
ложный пробой (ЛП),68874.4,2026-02-25 19:00:00
пробой вниз,69273.6,2026-02-25 19:00:00
ложный пробой (ЛП),68721.2,2026-02-25 19:00:00
ложный пробой (ЛП),68721.2,2026-02-25 21:00:00
ложный пробой (ЛП),68721.2,2026-02-25 21:00:00
ложный пробой (ЛП),68874.4,2026-02-25 21:00:00
ложный пробой (ЛП),69819.7,2026-02-25 22:00:00
ложный пробой (ЛП),70088.9,2026-02-25 22:00:00
ложный пробой (ЛП),68874.4,2026-02-25 22:00:00
ложный пробой (ЛП),69513.9,2026-02-25 22:00:00
ложный пробой (ЛП),68154.8,2026-02-25 23:00:00
ложный пробой (ЛП),68437.0,2026-02-25 23:00:00
ложный пробой (ЛП),68620.3,2026-02-25 23:00:00
ложный пробой (ЛП),68685.8,2026-02-25 23:00:00
ложный пробой (ЛП),68874.4,2026-02-25 23:00:00
пробой вниз,68154.8,2026-02-25 23:00:00
пробой вниз,68036.4,2026-02-25 23:00:00
ложный пробой (ЛП),68437.0,2026-02-25 23:00:00
ложный пробой (ЛП),67993.7,2026-02-25 23:00:00
ложный пробой (ЛП),68197.7,2026-02-25 23:00:00
ложный пробой (ЛП),68288.0,2026-02-25 23:00:00
ложный пробой (ЛП),68282.2,2026-02-25 23:00:00
ложный пробой (ЛП),68620.3,2026-02-25 23:00:00
ложный пробой (ЛП),68685.8,2026-02-25 23:00:00
ложный пробой (ЛП),68299.9,2026-02-25 23:00:00
ложный пробой (ЛП),68874.4,2026-02-25 23:00:00
ложный пробой (ЛП),68437.0,2026-02-26
ложный пробой (ЛП),67993.7,2026-02-26
ложный пробой (ЛП),68197.7,2026-02-26
ложный пробой (ЛП),68288.0,2026-02-26
ложный пробой (ЛП),68282.2,2026-02-26
ложный пробой (ЛП),68620.3,2026-02-26
ложный пробой (ЛП),68299.9,2026-02-26
ложный пробой (ЛП),68036.4,2026-02-26 03:00:00
ложный пробой (ЛП),68197.7,2026-02-26 03:00:00
ложный пробой (ЛП),68288.0,2026-02-26 03:00:00
ложный пробой (ЛП),68282.2,2026-02-26 03:00:00
ложный пробой (ЛП),68299.9,2026-02-26 03:00:00
ложный пробой (ЛП),68620.3,2026-02-26 05:00:00
ложный пробой (ЛП),68685.8,2026-02-26 05:00:00
ложный пробой (ЛП),68285.1,2026-02-26 06:00:00
ложный пробой (ЛП),68213.0,2026-02-26 06:00:00
ложный пробой (ЛП),68122.9,2026-02-26 06:00:00
ложный пробой (ЛП),68437.0,2026-02-26 06:00:00
ложный пробой (ЛП),68122.9,2026-02-26 07:00:00
ложный пробой (ЛП),68437.0,2026-02-26 07:00:00
ложный пробой (ЛП),68197.7,2026-02-26 07:00:00
ложный пробой (ЛП),68288.0,2026-02-26 07:00:00
ложный пробой (ЛП),68282.2,2026-02-26 07:00:00
ложный пробой (ЛП),68299.9,2026-02-26 07:00:00
ложный пробой (ЛП),67993.7,2026-02-26 08:00:00
ложный пробой (ЛП),68197.7,2026-02-26 08:00:00
пробой вверх,67993.7,2026-02-26 09:00:00
ложный пробой (ЛП),68197.7,2026-02-26 09:00:00
ложный пробой (ЛП),68213.0,2026-02-26 10:00:00
ложный пробой (ЛП),68122.9,2026-02-26 10:00:00
ложный пробой (ЛП),68620.3,2026-02-26 10:00:00
ложный пробой (ЛП),68437.0,2026-02-26 11:00:00
пробой вверх,68288.0,2026-02-26 11:00:00
пробой вверх,68282.2,2026-02-26 11:00:00
ложный пробой (ЛП),68620.3,2026-02-26 11:00:00
ложный пробой (ЛП),68685.8,2026-02-26 11:00:00
