timestamp,inst,price,status,reason,direction,level,atr_1h,who_punished
2026-08-28 21:05:00,BTC-USDT-SWAP,77380.0,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,640.0785714285697,накажут нетерпеливых (рынок вялый — без импульса)
2026-08-29 03:10:00,BTC-USDT-SWAP,77661.7,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,580.557142857143,накажут нетерпеливых (рынок вялый — без импульса)
2026-08-29 10:05:00,BTC-USDT-SWAP,77532.8,НЕТ СДЕЛКИ,НЕТ ОТКАЗА (нет хвоста/поглощения на M5),,,224.06428571428842,"накажут тех, кто входит без подтверждения (без отказа)"
