pattern,level_price,timestamp
ложный пробой (ЛП),71491.4,2026-03-15 19:00:00
ложный пробой (ЛП),71755.2,2026-03-15 19:00:00
ложный пробой (ЛП),71598.7,2026-03-15 19:00:00
ложный пробой (ЛП),71644.5,2026-03-15 19:00:00
ложный пробой (ЛП),71786.2,2026-03-15 19:00:00
ложный пробой (ЛП),71491.4,2026-03-15 19:00:00
ложный пробой (ЛП),71755.2,2026-03-15 19:00:00
ложный пробой (ЛП),71598.7,2026-03-15 19:00:00
ложный пробой (ЛП),71644.5,2026-03-15 19:00:00
ложный пробой (ЛП),71786.2,2026-03-15 19:00:00
пробой вверх,71598.7,2026-03-15 20:00:00
пробой вверх,71644.5,2026-03-15 20:00:00
