pattern,level_price,timestamp
ложный пробой (ЛП),74316.5,2026-03-16 19:00:00
ложный пробой (ЛП),74316.5,2026-03-16 20:00:00
пробой вверх,74316.5,2026-03-16 21:00:00
пробой вверх,74316.5,2026-03-16 21:00:00
пробой вверх,74449.7,2026-03-16 21:00:00
пробой вверх,74449.7,2026-03-16 22:00:00
пробой вверх,74499.9,2026-03-16 22:00:00
ложный пробой (ЛП),74794.9,2026-03-16 23:00:00
пробой вверх,74794.9,2026-03-16 23:00:00
ложный пробой (ЛП),74794.9,2026-03-17
ложный пробой (ЛП),75500.0,2026-03-17 03:00:00
ложный пробой (ЛП),74316.5,2026-03-17 05:00:00
ложный пробой (ЛП),74449.7,2026-03-17 05:00:00
ложный пробой (ЛП),74499.9,2026-03-17 05:00:00
ложный пробой (ЛП),74316.5,2026-03-17 06:00:00
