pattern,level_price,timestamp
ложный пробой (ЛП),65188.0,2026-08-09 19:00:00
пробой вверх,65172.5,2026-08-09 19:00:00
ложный пробой (ЛП),65188.0,2026-08-09 19:00:00
ложный пробой (ЛП),65172.5,2026-08-09 19:00:00
ложный пробой (ЛП),65158.0,2026-08-09 20:00:00
ложный пробой (ЛП),65188.0,2026-08-09 20:00:00
ложный пробой (ЛП),65172.5,2026-08-09 20:00:00
ложный пробой (ЛП),65158.0,2026-08-09 21:00:00
пробой вверх,65158.0,2026-08-09 21:00:00
пробой вверх,65172.5,2026-08-09 21:00:00
пробой вверх,65188.0,2026-08-09 22:00:00
пробой вверх,65060.4,2026-08-09 23:00:00
ложный пробой (ЛП),65390.8,2026-08-09 23:00:00
ложный пробой (ЛП),65188.0,2026-08-09 23:00:00
ложный пробой (ЛП),65357.8,2026-08-09 23:00:00
ложный пробой (ЛП),65172.5,2026-08-09 23:00:00
ложный пробой (ЛП),65239.4,2026-08-09 23:00:00
ложный пробой (ЛП),65279.9,2026-08-09 23:00:00
ложный пробой (ЛП),65060.4,2026-08-09 23:00:00
ложный пробой (ЛП),65390.8,2026-08-09 23:00:00
ложный пробой (ЛП),64927.6,2026-08-09 23:00:00
ложный пробой (ЛП),65026.0,2026-08-09 23:00:00
ложный пробой (ЛП),65188.0,2026-08-09 23:00:00
ложный пробой (ЛП),65357.8,2026-08-09 23:00:00
ложный пробой (ЛП),65172.5,2026-08-09 23:00:00
ложный пробой (ЛП),65239.4,2026-08-09 23:00:00
ложный пробой (ЛП),65279.9,2026-08-09 23:00:00
пробой вверх,64967.2,2026-08-10 01:00:00
пробой вверх,64995.6,2026-08-10 01:00:00
ложный пробой (ЛП),65060.4,2026-08-10 01:00:00
пробой вверх,65026.0,2026-08-10 01:00:00
ложный пробой (ЛП),65188.0,2026-08-10 01:00:00
ложный пробой (ЛП),65172.5,2026-08-10 01:00:00
ложный пробой (ЛП),64810.0,2026-08-10 01:00:00
ложный пробой (ЛП),65239.4,2026-08-10 01:00:00
ложный пробой (ЛП),65279.9,2026-08-10 01:00:00
ложный пробой (ЛП),64995.6,2026-08-10 03:00:00
ложный пробой (ЛП),65060.4,2026-08-10 03:00:00
ложный пробой (ЛП),65026.0,2026-08-10 03:00:00
ложный пробой (ЛП),65188.0,2026-08-10 03:00:00
ложный пробой (ЛП),65172.5,2026-08-10 03:00:00
пробой вверх,64995.6,2026-08-10 05:00:00
ложный пробой (ЛП),65060.4,2026-08-10 05:00:00
ложный пробой (ЛП),65026.0,2026-08-10 05:00:00
пробой вверх,65188.0,2026-08-10 06:00:00
пробой вверх,65172.5,2026-08-10 06:00:00
пробой вверх,65188.0,2026-08-10 08:00:00
пробой вверх,65239.4,2026-08-10 08:00:00
пробой вверх,65279.9,2026-08-10 08:00:00
ложный пробой (ЛП),65026.0,2026-08-10 09:00:00
ложный пробой (ЛП),65188.0,2026-08-10 09:00:00
ложный пробой (ЛП),65172.5,2026-08-10 09:00:00
ложный пробой (ЛП),65239.4,2026-08-10 09:00:00
ложный пробой (ЛП),65279.9,2026-08-10 09:00:00
ложный пробой (ЛП),65026.0,2026-08-10 11:00:00
ложный пробой (ЛП),64720.0,2026-08-10 13:00:00
ложный пробой (ЛП),64746.5,2026-08-10 13:00:00
ложный пробой (ЛП),64784.8,2026-08-10 13:00:00
ложный пробой (ЛП),64827.3,2026-08-10 13:00:00
ложный пробой (ЛП),64927.6,2026-08-10 13:00:00
ложный пробой (ЛП),65026.0,2026-08-10 13:00:00
ложный пробой (ЛП),65188.0,2026-08-10 13:00:00
ложный пробой (ЛП),65172.5,2026-08-10 13:00:00
пробой вниз,64810.0,2026-08-10 13:00:00
пробой вниз,64743.1,2026-08-10 13:00:00
пробой вверх,64580.3,2026-08-10 14:00:00
пробой вверх,64720.0,2026-08-10 14:00:00
пробой вверх,64746.5,2026-08-10 14:00:00
пробой вверх,64784.8,2026-08-10 14:00:00
пробой вверх,64827.3,2026-08-10 14:00:00
ложный пробой (ЛП),64927.6,2026-08-10 14:00:00
ложный пробой (ЛП),64810.0,2026-08-10 14:00:00
ложный пробой (ЛП),64743.1,2026-08-10 14:00:00
ложный пробой (ЛП),64680.0,2026-08-10 14:00:00
ложный пробой (ЛП),64388.0,2026-08-10 15:00:00
ложный пробой (ЛП),64398.8,2026-08-10 15:00:00
ложный пробой (ЛП),64534.5,2026-08-10 15:00:00
ложный пробой (ЛП),64580.3,2026-08-10 15:00:00
ложный пробой (ЛП),64720.0,2026-08-10 15:00:00
ложный пробой (ЛП),64746.5,2026-08-10 15:00:00
ложный пробой (ЛП),64784.8,2026-08-10 15:00:00
ложный пробой (ЛП),64827.3,2026-08-10 15:00:00
пробой вниз,64354.3,2026-08-10 15:00:00
пробой вниз,64500.0,2026-08-10 15:00:00
ложный пробой (ЛП),64249.1,2026-08-10 16:00:00
ложный пробой (ЛП),64388.0,2026-08-10 16:00:00
ложный пробой (ЛП),64398.8,2026-08-10 16:00:00
ложный пробой (ЛП),64534.5,2026-08-10 16:00:00
ложный пробой (ЛП),64580.3,2026-08-10 16:00:00
пробой вниз,64144.0,2026-08-10 16:00:00
пробой вниз,64111.1,2026-08-10 16:00:00
пробой вниз,64162.9,2026-08-10 16:00:00
ложный пробой (ЛП),63987.1,2026-08-10 17:00:00
ложный пробой (ЛП),63989.9,2026-08-10 17:00:00
ложный пробой (ЛП),64050.0,2026-08-10 17:00:00
ложный пробой (ЛП),64249.1,2026-08-10 17:00:00
ложный пробой (ЛП),63840.0,2026-08-10 17:00:00
