pattern,level_price,timestamp
ложный пробой (ЛП),79428.4,2026-05-13 19:00:00
пробой вниз,79421.0,2026-05-13 19:00:00
пробой вниз,79543.0,2026-05-13 19:00:00
пробой вниз,79420.0,2026-05-13 19:00:00
пробой вниз,79640.7,2026-05-13 21:00:00
пробой вниз,79543.0,2026-05-13 21:00:00
ложный пробой (ЛП),79266.8,2026-05-13 22:00:00
ложный пробой (ЛП),79428.4,2026-05-13 22:00:00
пробой вниз,79305.6,2026-05-13 22:00:00
ложный пробой (ЛП),79266.8,2026-05-13 23:00:00
ложный пробой (ЛП),79428.4,2026-05-13 23:00:00
пробой вниз,79305.6,2026-05-13 23:00:00
