pattern,level_price,timestamp
ложный пробой (ЛП),68299.9,2026-03-06 19:00:00
пробой вверх,68181.3,2026-03-06 19:00:00
ложный пробой (ЛП),68120.4,2026-03-06 19:00:00
ложный пробой (ЛП),68299.9,2026-03-06 20:00:00
ложный пробой (ЛП),68181.3,2026-03-06 20:00:00
ложный пробой (ЛП),68299.9,2026-03-06 20:00:00
ложный пробой (ЛП),68181.3,2026-03-06 20:00:00
ложный пробой (ЛП),68181.3,2026-03-06 21:00:00
пробой вверх,68181.3,2026-03-06 21:00:00
ложный пробой (ЛП),68120.4,2026-03-06 21:00:00
ложный пробой (ЛП),68120.4,2026-03-06 22:00:00
пробой вверх,68299.9,2026-03-06 22:00:00
ложный пробой (ЛП),68120.4,2026-03-06 22:00:00
ложный пробой (ЛП),68299.9,2026-03-06 23:00:00
ложный пробой (ЛП),68299.9,2026-03-06 23:00:00
ложный пробой (ЛП),68181.3,2026-03-06 23:00:00
ложный пробой (ЛП),68299.9,2026-03-06 23:00:00
ложный пробой (ЛП),68181.3,2026-03-06 23:00:00
пробой вниз,68120.4,2026-03-06 23:00:00
ложный пробой (ЛП),68299.9,2026-03-07 02:00:00
ложный пробой (ЛП),68181.3,2026-03-07 02:00:00
пробой вниз,68120.4,2026-03-07 02:00:00
ложный пробой (ЛП),68299.9,2026-03-07 04:00:00
ложный пробой (ЛП),68181.3,2026-03-07 04:00:00
ложный пробой (ЛП),67726.7,2026-03-07 07:00:00
пробой вверх,67726.7,2026-03-07 07:00:00
ложный пробой (ЛП),67707.2,2026-03-07 07:00:00
ложный пробой (ЛП),67707.2,2026-03-07 08:00:00
ложный пробой (ЛП),67555.1,2026-03-07 08:00:00
ложный пробой (ЛП),67707.2,2026-03-07 09:00:00
ложный пробой (ЛП),67707.2,2026-03-07 09:00:00
ложный пробой (ЛП),67707.2,2026-03-07 09:00:00
ложный пробой (ЛП),67707.2,2026-03-07 10:00:00
ложный пробой (ЛП),67707.2,2026-03-07 10:00:00
ложный пробой (ЛП),68181.3,2026-03-07 12:00:00
