timestamp,time_almaty,open,high,low,close,volume
1768096800000,2026-01-11 07:00:00+05:00,90588.0,90689.0,90567.9,90651.8,58045.03
1768100400000,2026-01-11 08:00:00+05:00,90651.9,90699.0,90592.2,90698.9,43830.78
1768104000000,2026-01-11 09:00:00+05:00,90699.0,90758.3,90620.0,90758.3,51632.76
1768107600000,2026-01-11 10:00:00+05:00,90758.2,90824.3,90690.6,90744.0,76667.28
1768111200000,2026-01-11 11:00:00+05:00,90744.0,90766.1,90550.0,90705.0,77639.82
1768114800000,2026-01-11 12:00:00+05:00,90705.0,90718.5,90633.9,90675.4,38721.2
1768118400000,2026-01-11 13:00:00+05:00,90675.4,90778.8,90572.0,90751.9,120114.36
1768122000000,2026-01-11 14:00:00+05:00,90752.0,90777.0,90620.9,90694.4,117561.19
1768125600000,2026-01-11 15:00:00+05:00,90694.5,90704.0,90638.1,90692.8,38731.43
1768129200000,2026-01-11 16:00:00+05:00,90692.8,90709.5,90650.0,90709.5,48260.59
1768132800000,2026-01-11 17:00:00+05:00,90709.5,90974.0,90671.9,90890.0,142299.93
1768136400000,2026-01-11 18:00:00+05:00,90890.0,90942.7,90759.2,90808.4,140781.36
1768140000000,2026-01-11 19:00:00+05:00,90808.4,91149.9,90808.3,91073.9,136510.18
1768143600000,2026-01-11 20:00:00+05:00,91073.9,91109.0,90666.0,90830.0,200952.96
1768147200000,2026-01-11 21:00:00+05:00,90830.0,91258.9,90830.0,91000.0,209946.21
1768150800000,2026-01-11 22:00:00+05:00,91000.1,91100.0,90868.7,90943.8,90686.0
1768154400000,2026-01-11 23:00:00+05:00,90943.8,90943.9,90750.2,90849.0,63608.99
1768158000000,2026-01-12 00:00:00+05:00,90848.9,90889.7,90625.1,90653.3,61600.81
1768161600000,2026-01-12 01:00:00+05:00,90653.3,90700.0,90336.8,90666.0,171171.35
1768165200000,2026-01-12 02:00:00+05:00,90666.1,90790.0,90555.0,90704.1,65478.77
1768168800000,2026-01-12 03:00:00+05:00,90704.2,90704.2,90405.0,90488.7,87438.47
1768172400000,2026-01-12 04:00:00+05:00,90488.6,91000.0,90155.1,90962.0,258062.01
1768176000000,2026-01-12 05:00:00+05:00,90961.9,91218.3,90642.2,91218.2,256265.33
1768179600000,2026-01-12 06:00:00+05:00,91218.3,91767.4,91049.6,91375.8,490099.24
1768183200000,2026-01-12 07:00:00+05:00,91375.8,92368.0,91330.5,92170.1,596495.54
1768186800000,2026-01-12 08:00:00+05:00,92170.1,92495.0,91766.0,91778.6,541033.93
1768190400000,2026-01-12 09:00:00+05:00,91778.7,92253.8,91722.0,92138.5,225556.56
1768194000000,2026-01-12 10:00:00+05:00,92138.4,92232.7,92001.0,92080.4,143798.1
1768197600000,2026-01-12 11:00:00+05:00,92080.3,92175.0,91774.8,91798.2,185328.89
1768201200000,2026-01-12 12:00:00+05:00,91798.2,91940.1,91353.0,91380.1,387180.93
1768204800000,2026-01-12 13:00:00+05:00,91380.0,91598.0,90356.4,90713.4,887229.93
1768208400000,2026-01-12 14:00:00+05:00,90713.5,90900.0,90604.1,90644.0,269933.01
1768212000000,2026-01-12 15:00:00+05:00,90644.1,90750.0,90320.0,90397.7,230490.0
1768215600000,2026-01-12 16:00:00+05:00,90397.7,90776.9,90387.5,90575.6,208150.1
1768219200000,2026-01-12 17:00:00+05:00,90575.5,90825.8,90572.0,90735.0,130382.81
1768222800000,2026-01-12 18:00:00+05:00,90735.0,90783.9,90487.1,90580.8,168900.16
1768226400000,2026-01-12 19:00:00+05:00,90580.7,91083.2,90064.4,90861.7,758828.35
