pattern,level_price,timestamp
ложный пробой (ЛП),66214.0,2026-03-30 20:00:00
ложный пробой (ЛП),67928.9,2026-03-31 03:00:00
ложный пробой (ЛП),67985.0,2026-03-31 03:00:00
ложный пробой (ЛП),67513.0,2026-03-31 05:00:00
ложный пробой (ЛП),67643.3,2026-03-31 05:00:00
ложный пробой (ЛП),67788.0,2026-03-31 05:00:00
пробой вниз,67576.3,2026-03-31 06:00:00
пробой вниз,67513.0,2026-03-31 06:00:00
ложный пробой (ЛП),67496.2,2026-03-31 06:00:00
ложный пробой (ЛП),67643.3,2026-03-31 06:00:00
ложный пробой (ЛП),67307.6,2026-03-31 08:00:00
ложный пробой (ЛП),67496.2,2026-03-31 08:00:00
ложный пробой (ЛП),67147.3,2026-03-31 09:00:00
ложный пробой (ЛП),67294.4,2026-03-31 09:00:00
ложный пробой (ЛП),67036.9,2026-03-31 09:00:00
ложный пробой (ЛП),66214.0,2026-03-31 10:00:00
ложный пробой (ЛП),66170.5,2026-03-31 10:00:00
ложный пробой (ЛП),66123.0,2026-03-31 10:00:00
ложный пробой (ЛП),66214.0,2026-03-31 11:00:00
ложный пробой (ЛП),66170.5,2026-03-31 11:00:00
ложный пробой (ЛП),66123.0,2026-03-31 11:00:00
