timestamp,time_almaty,open,high,low,close,volume
1769074200000,2026-01-22 14:30:00+05:00,89956.6,90000.0,89900.0,89962.4,14784.83
1769074500000,2026-01-22 14:35:00+05:00,89962.4,90086.8,89948.2,90050.9,17093.39
1769074800000,2026-01-22 14:40:00+05:00,90051.0,90077.2,90045.2,90058.8,6897.07
1769075100000,2026-01-22 14:45:00+05:00,90058.8,90067.4,90017.0,90060.0,6372.56
1769075400000,2026-01-22 14:50:00+05:00,90059.9,90060.0,89980.0,90008.0,5211.27
1769075700000,2026-01-22 14:55:00+05:00,90008.0,90008.0,89975.5,89985.9,5184.69
1769076000000,2026-01-22 15:00:00+05:00,89985.8,90006.5,89893.9,89935.0,24051.96
1769076300000,2026-01-22 15:05:00+05:00,89935.0,90007.9,89905.3,90002.7,28887.09
1769076600000,2026-01-22 15:10:00+05:00,90002.8,90024.6,89932.8,89986.5,30531.89
1769076900000,2026-01-22 15:15:00+05:00,89986.5,90018.3,89930.6,89956.1,11193.28
1769077200000,2026-01-22 15:20:00+05:00,89956.1,90069.4,89947.1,89993.1,12220.57
1769077500000,2026-01-22 15:25:00+05:00,89993.1,90023.6,89985.2,89985.2,4121.44
1769077800000,2026-01-22 15:30:00+05:00,89985.2,90020.5,89959.3,90016.6,5166.62
1769078100000,2026-01-22 15:35:00+05:00,90016.7,90020.5,89966.3,89972.5,6359.52
1769078400000,2026-01-22 15:40:00+05:00,89972.5,90019.8,89972.4,90003.0,4199.02
1769078700000,2026-01-22 15:45:00+05:00,90002.9,90025.3,89972.8,90014.2,7856.19
1769079000000,2026-01-22 15:50:00+05:00,90014.1,90058.0,90001.9,90057.9,5350.79
1769079300000,2026-01-22 15:55:00+05:00,90058.0,90058.0,90022.1,90030.5,9192.27
1769079600000,2026-01-22 16:00:00+05:00,90030.4,90031.2,89985.1,89995.9,6864.81
1769079900000,2026-01-22 16:05:00+05:00,89996.0,90039.4,89986.4,90038.7,10239.8
1769080200000,2026-01-22 16:10:00+05:00,90038.6,90115.4,89873.7,89940.3,27110.73
1769080500000,2026-01-22 16:15:00+05:00,89940.3,89981.6,89888.0,89970.4,9682.14
1769080800000,2026-01-22 16:20:00+05:00,89970.5,89981.9,89900.2,89919.9,8344.4
1769081100000,2026-01-22 16:25:00+05:00,89919.9,89931.7,89862.5,89901.8,10075.1
1769081400000,2026-01-22 16:30:00+05:00,89901.8,89974.7,89895.3,89964.7,8524.75
1769081700000,2026-01-22 16:35:00+05:00,89964.8,89974.3,89861.1,89905.8,11571.05
1769082000000,2026-01-22 16:40:00+05:00,89905.7,89980.0,89843.4,89934.2,10296.73
1769082300000,2026-01-22 16:45:00+05:00,89934.1,90030.0,89922.6,90009.5,9886.04
1769082600000,2026-01-22 16:50:00+05:00,90009.4,90030.0,89865.7,89871.4,8522.76
1769082900000,2026-01-22 16:55:00+05:00,89871.4,89910.5,89864.2,89890.4,5429.58
1769083200000,2026-01-22 17:00:00+05:00,89890.4,89944.8,89823.7,89943.5,18387.28
1769083500000,2026-01-22 17:05:00+05:00,89943.4,90013.9,89908.7,89997.2,12206.63
1769083800000,2026-01-22 17:10:00+05:00,89997.1,90000.0,89927.8,89959.5,4507.44
1769084100000,2026-01-22 17:15:00+05:00,89959.4,90000.0,89942.8,89957.8,4795.85
1769084400000,2026-01-22 17:20:00+05:00,89957.8,89987.3,89934.7,89961.1,4893.84
1769084700000,2026-01-22 17:25:00+05:00,89961.0,89978.7,89936.3,89970.6,7611.9
1769085000000,2026-01-22 17:30:00+05:00,89970.6,90045.6,89952.3,90009.1,14047.03
1769085300000,2026-01-22 17:35:00+05:00,90009.1,90050.0,89974.7,89979.8,5510.57
1769085600000,2026-01-22 17:40:00+05:00,89979.7,90000.0,89940.1,89985.3,4199.07
1769085900000,2026-01-22 17:45:00+05:00,89985.4,90006.7,89963.0,89996.0,4825.65
1769086200000,2026-01-22 17:50:00+05:00,89996.0,90009.4,89939.2,89956.0,4245.61
1769086500000,2026-01-22 17:55:00+05:00,89956.0,89996.0,89949.9,89968.7,4083.32
1769086800000,2026-01-22 18:00:00+05:00,89968.8,89998.3,89954.5,89998.3,4754.47
1769087100000,2026-01-22 18:05:00+05:00,89998.2,90012.8,89944.0,89944.0,6989.11
1769087400000,2026-01-22 18:10:00+05:00,89944.0,90009.5,89944.0,90006.2,7042.46
1769087700000,2026-01-22 18:15:00+05:00,90006.1,90068.2,90002.4,90016.5,12415.59
