timestamp,inst,price,status,reason,direction,level,atr_1h,who_punished
2026-05-18 19:10:00,BTC-USDT-SWAP,76661.1,СДЕЛКА,ЕСТЬ СВИП + ОТКАЗ + РЕТЕСТ (валидный лонг),long,76633.3,499.52857142857,накажут продавцов
2026-05-18 20:45:00,BTC-USDT-SWAP,76871.2,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,498.3428571428563,накажут нетерпеливых (рынок вялый — без импульса)
2026-05-18 22:00:00,BTC-USDT-SWAP,77038.8,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,487.58571428571406,накажут нетерпеливых (рынок вялый — без импульса)
